subhalo_id,group_id,is_central,stellar_mass,vel_dispersion,half_mass_radius,metallicity,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,halo_mass,halo_mass_log,log_vel_dispersion,log_half_mass_radius,log_metallicity
118687,14,0,10.377676780622823,81.909,16.8087,0.0385385,56107.5,8826.5,35438.3,-43.1072,-224.441,244.024,114381692062481.55,14.058356516830022,1.913331623806717,1.2255341260118338,-1.4140939240513377
118688,14,0,10.104074219499736,75.8801,15.4813,0.040154,55382.2,8411.58,35637.9,868.044,107.327,121.802,114381692062481.55,14.058356516830022,1.8801278945600564,1.1898074265743388,-1.396260369757386
121863,15,1,11.98123418684144,394.671,353.721,0.00496204,52325.4,70909.4,41840.8,-53.2823,88.4081,-47.5892,109236199531296.12,14.038366582063647,2.596235216077095,2.5486608441330647,-2.3042522245590193
121864,15,0,11.342830474568157,181.387,43.4599,0.0163719,52353.2,71331.6,41420.5,4.0332,-130.606,-70.1528,109236199531296.12,14.038366582063647,2.2586061579689605,1.638088722686343,-1.7858743906887025
121865,15,0,10.933682867505578,121.01,44.409,0.0157943,53089.8,70864.8,41178.7,560.626,105.241,12.5826,109236199531296.12,14.038366582063647,2.0828212609393293,1.6474709938588463,-1.801472121129058
121866,15,0,10.919551336094171,123.831,26.451,0.0205337,52829.4,71150.9,41799.7,-138.316,128.1,384.771,109236199531296.12,14.038366582063647,2.092829380092908,1.4224420955119375,-1.6875116375532693
121867,15,0,10.264627536027294,81.4859,37.5619,0.0116163,52491.8,70158.7,41206.4,-415.31,54.1852,491.523,109236199531296.12,14.038366582063647,1.9110824666300137,1.5747475521416152,-1.9348947954700577
121868,15,0,10.825275059416173,136.979,4.0723,1e-06,52297.8,70844.8,41862.5,6.7706,1087.5,-747.51,109236199531296.12,14.038366582063647,2.1366539913667455,0.6098397643054665,-5.698970004336019
121869,15,0,10.351024109679747,90.0242,21.8519,0.0197533,52423.0,70895.5,41515.7,-1061.34,626.348,163.6,109236199531296.12,14.038366582063647,1.9543592707028146,1.3394892044021476,-1.7043383550750961
121870,15,0,10.576326384819772,106.755,11.5105,1e-06,52218.6,70517.6,41722.8,392.176,244.722,42.948,109236199531296.12,14.038366582063647,2.028388224882607,1.061094189183623,-5.698970004336019
121871,15,0,10.135892874919783,86.4401,23.6875,0.0147267,52278.2,71200.6,42147.0,-1090.28,66.2414,-33.7402,109236199531296.12,14.038366582063647,1.9367152606339602,1.3745192273121476,-1.8318650708967315
121872,15,0,10.13889957823414,83.0422,16.059,0.0169272,52345.3,70560.6,41630.1,776.7,580.409,362.025,109236199531296.12,14.038366582063647,1.9192988462269736,1.2057184981030942,-1.7713892185967468
128393,17,1,12.119645744964224,392.043,298.91,0.0062182,43439.2,67877.4,44410.8,-222.394,5.3241,-387.127,105641558601823.14,14.023834800024265,2.5933337038534896,2.4755404445547438,-2.206265476712809
128394,17,0,10.850491941176923,135.498,39.5664,1e-06,43342.1,67398.0,44240.8,-943.269,-438.758,-614.266,105641558601823.14,14.023834800024265,2.1319328849124606,1.59732653721929,-5.698970004336019
128395,17,0,11.05666633431504,122.9,29.1275,0.0326631,43491.0,67426.1,45093.1,-123.571,348.69,-821.991,105641558601823.14,14.023834800024265,2.0895518828864543,1.4643032109305323,-1.4859293035056536
128396,17,0,10.939651877820255,131.478,17.0847,1e-06,43720.9,67811.4,44531.5,-1036.4,-402.647,3.1955,105641558601823.14,14.023834800024265,2.1188530891153206,1.2326073571770135,-5.698970004336019
