subhalo_id,group_id,is_central,stellar_mass,vel_dispersion,half_mass_radius,metallicity,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,halo_mass,halo_mass_log
88666,9,0,11.016233669757105,169.593,56.8599,0.0148555,41214.2,66485.7,43425.4,-137.064,681.393,-816.509,212519505300597.88,14.327398796295338
88667,9,0,10.95887932084188,126.852,65.2729,0.0208228,40231.2,65934.6,42084.9,479.965,612.983,697.937,212519505300597.88,14.327398796295338
88668,9,0,10.865047818371544,154.036,48.6538,0.0,40356.9,66309.9,43113.1,-613.998,41.4841,638.559,212519505300597.88,14.327398796295338
88669,9,0,11.217763615466847,188.297,24.4351,0.0,40516.8,67034.3,42868.2,-226.251,1186.14,-352.301,212519505300597.88,14.327398796295338
88670,9,0,10.723802634878085,112.785,48.4374,0.012381,41466.3,66708.4,42544.7,-696.243,578.547,618.802,212519505300597.88,14.327398796295338
88671,9,0,10.664160452627774,108.533,49.4998,0.0138555,42020.7,66117.0,42408.9,-720.932,477.897,449.173,212519505300597.88,14.327398796295338
88672,9,0,10.745405142355246,135.928,27.9796,0.0,40035.6,66738.0,42414.9,138.212,470.363,-46.1812,212519505300597.88,14.327398796295338
69507,6,1,12.347366031783904,496.921,408.586,0.00606713,43440.1,38187.4,70194.6,30.6298,-96.9748,-68.2743,208590059418364.34,14.319293607817173
69508,6,0,11.632419032540977,252.483,154.352,0.0100402,44695.9,37751.0,70842.8,-797.348,-139.768,-118.401,208590059418364.34,14.319293607817173
69509,6,0,11.39974165952906,200.602,19.2328,0.0221818,43106.5,38192.3,70103.8,388.257,-78.4233,191.344,208590059418364.34,14.319293607817173
69510,6,0,11.18830434429035,156.608,25.998,0.0,43433.5,37847.4,70489.4,-391.64,725.282,-697.341,208590059418364.34,14.319293607817173
69511,6,0,10.969286706141439,132.486,23.8503,0.0,43127.0,37649.8,70249.8,-521.683,-522.781,-251.988,208590059418364.34,14.319293607817173
69512,6,0,11.093708543171418,207.643,3.4359,0.0,43318.0,38168.1,70137.9,425.306,40.149,369.197,208590059418364.34,14.319293607817173
69513,6,0,10.587165919897267,97.931,43.7344,0.0312807,44522.9,36913.0,71124.8,-489.943,-25.1289,76.1033,208590059418364.34,14.319293607817173
69514,6,0,10.680622383289293,104.506,35.9291,0.0138247,44872.9,37751.8,71520.4,-713.263,-37.6388,-342.733,208590059418364.34,14.319293607817173
69515,6,0,10.602303548504793,110.164,27.1504,0.0,43061.1,38938.3,69327.0,500.366,288.794,-86.3277,208590059418364.34,14.319293607817173
69516,6,0,10.619276072933637,96.0082,31.8745,0.0,44184.9,37214.3,71170.9,416.975,5.5125,471.177,208590059418364.34,14.319293607817173
83280,8,1,12.321005578816319,491.438,394.652,0.00602107,23867.8,33076.1,41411.2,-149.867,322.279,168.557,207975664074033.06,14.318012519690214
